title,release_year,genre,country,rating
Movie_1,2013,Drama,USA,PG-13
Movie_2,2009,Drama,Canada,TV-MA
Movie_3,2007,Action,India,TV-MA
Movie_4,2016,Comedy,India,PG
Movie_5,2011,Drama,USA,TV-MA
Movie_6,2011,Comedy,UK,R
Movie_7,2001,Comedy,India,G
Movie_8,2014,Documentary,USA,G
Movie_9,2010,Romance,Australia,PG
Movie_10,2017,Action,UK,G
Movie_11,2018,Comedy,Australia,G
Movie_12,2016,Thriller,Japan,PG-13
Movie_13,2020,Thriller,UK,PG-13
Movie_14,2019,Comedy,Canada,PG-13
Movie_15,2020,Action,UK,G
Movie_16,2016,Comedy,Australia,PG
Movie_17,2010,Thriller,USA,G
Movie_18,2000,Drama,USA,PG
Movie_19,2020,Comedy,India,TV-MA
Movie_20,2011,Action,India,TV-MA
Movie_21,2009,Thriller,India,PG-13
Movie_22,2006,Romance,UK,PG-13
Movie_23,2002,Thriller,Canada,PG
Movie_24,2001,Thriller,India,R
Movie_25,2000,Drama,USA,R
Movie_26,2021,Comedy,Australia,PG-13
Movie_27,2018,Drama,UK,R
Movie_28,2008,Comedy,Australia,R
Movie_29,2010,Drama,Japan,G
Movie_30,2017,Action,Australia,G
Movie_31,2001,Drama,India,R
Movie_32,2018,Comedy,India,R
Movie_33,2022,Thriller,UK,TV-MA
Movie_34,2005,Thriller,UK,R
Movie_35,2010,Romance,UK,PG
Movie_36,2006,Thriller,Australia,PG-13
Movie_37,2002,Romance,Japan,R
Movie_38,2022,Thriller,Canada,R
Movie_39,2016,Romance,Australia,PG
Movie_40,2014,Comedy,India,PG
Movie_41,2020,Action,India,R
Movie_42,2000,Romance,Japan,R
Movie_43,2005,Comedy,Canada,TV-MA
Movie_44,2019,Thriller,USA,R
Movie_45,2010,Comedy,USA,TV-MA
Movie_46,2013,Action,India,R
Movie_47,2020,Thriller,UK,PG-13
Movie_48,2017,Action,Australia,PG-13
Movie_49,2015,Drama,Australia,PG
Movie_50,2009,Romance,USA,PG
Movie_51,2003,Comedy,UK,TV-MA
Movie_52,2001,Romance,Canada,TV-MA
Movie_53,2004,Romance,USA,G
Movie_54,2004,Thriller,India,R
Movie_55,2012,Romance,USA,R
Movie_56,2013,Drama,Australia,R
Movie_57,2009,Action,USA,PG
Movie_58,2017,Drama,UK,TV-MA
Movie_59,2013,Comedy,USA,G
Movie_60,2010,Drama,USA,PG
Movie_61,2008,Action,UK,R
Movie_62,2015,Documentary,India,PG-13
Movie_63,2003,Thriller,Canada,R
Movie_64,2018,Comedy,Canada,R
Movie_65,2020,Comedy,Canada,TV-MA
Movie_66,2009,Drama,Japan,G
Movie_67,2009,Drama,UK,PG-13
Movie_68,2019,Romance,Australia,R
Movie_69,2014,Romance,Australia,R
Movie_70,2011,Romance,UK,G
Movie_71,2007,Romance,India,TV-MA
Movie_72,2006,Comedy,Japan,G
Movie_73,2002,Thriller,Canada,G
Movie_74,2008,Thriller,India,R
Movie_75,2006,Documentary,UK,R
Movie_76,2005,Romance,Japan,TV-MA
Movie_77,2014,Drama,Australia,G
Movie_78,2020,Romance,Canada,TV-MA
Movie_79,2014,Comedy,Japan,R
Movie_80,2013,Romance,India,G
Movie_81,2012,Documentary,UK,R
Movie_82,2011,Drama,India,R
Movie_83,2009,Romance,India,R
Movie_84,2021,Romance,India,R
Movie_85,2009,Documentary,Australia,PG-13
Movie_86,2011,Thriller,India,PG-13
Movie_87,2003,Comedy,USA,PG
Movie_88,2014,Comedy,UK,TV-MA
Movie_89,2001,Action,Australia,G
Movie_90,2004,Drama,Australia,PG-13
Movie_91,2020,Action,Australia,PG
Movie_92,2021,Action,India,TV-MA
Movie_93,2016,Romance,Australia,PG-13
Movie_94,2012,Drama,Canada,TV-MA
Movie_95,2002,Documentary,UK,R
Movie_96,2004,Comedy,Japan,R
Movie_97,2021,Documentary,USA,PG
Movie_98,2008,Romance,Australia,PG
Movie_99,2015,Action,Canada,TV-MA
Movie_100,2016,Romance,Japan,R
Movie_101,2013,Action,Japan,TV-MA
Movie_102,2015,Romance,USA,PG
Movie_103,2004,Action,USA,PG-13
Movie_104,2006,Drama,USA,TV-MA
Movie_105,2012,Thriller,Japan,PG-13
Movie_106,2007,Documentary,UK,PG-13
Movie_107,2011,Comedy,UK,PG-13
Movie_108,2014,Comedy,USA,PG
Movie_109,2006,Comedy,Canada,R
Movie_110,2001,Documentary,Australia,TV-MA
Movie_111,2020,Romance,Canada,TV-MA
Movie_112,2011,Action,Australia,PG-13
Movie_113,2011,Comedy,Canada,PG
Movie_114,2014,Documentary,Australia,PG-13
Movie_115,2000,Action,Canada,R
Movie_116,2019,Documentary,UK,PG-13
Movie_117,2015,Romance,Canada,PG-13
Movie_118,2020,Thriller,Japan,TV-MA
Movie_119,2009,Drama,Australia,PG-13
Movie_120,2022,Romance,Australia,TV-MA
Movie_121,2018,Action,USA,PG-13
Movie_122,2020,Drama,Australia,PG-13
Movie_123,2014,Action,Australia,R
Movie_124,2008,Action,Canada,TV-MA
Movie_125,2008,Comedy,Australia,PG-13
Movie_126,2011,Thriller,Canada,PG-13
Movie_127,2003,Romance,UK,PG
Movie_128,2018,Thriller,India,TV-MA
Movie_129,2000,Drama,USA,PG
Movie_130,2004,Documentary,India,R
Movie_131,2016,Comedy,USA,PG
Movie_132,2009,Drama,USA,R
Movie_133,2003,Romance,Japan,TV-MA
Movie_134,2016,Documentary,UK,PG
Movie_135,2017,Romance,Australia,TV-MA
Movie_136,2005,Romance,Japan,PG-13
Movie_137,2000,Comedy,India,TV-MA
Movie_138,2012,Romance,India,PG-13
Movie_139,2012,Comedy,UK,G
Movie_140,2022,Romance,India,PG-13
Movie_141,2012,Documentary,USA,R
Movie_142,2013,Romance,USA,R
Movie_143,2013,Action,India,TV-MA
Movie_144,2003,Romance,Australia,TV-MA
Movie_145,2007,Comedy,India,PG-13
Movie_146,2016,Romance,USA,PG
Movie_147,2001,Comedy,UK,TV-MA
Movie_148,2016,Documentary,Japan,PG
Movie_149,2015,Comedy,UK,TV-MA
Movie_150,2007,Documentary,India,G
Movie_151,2020,Documentary,UK,R
Movie_152,2019,Documentary,India,G
Movie_153,2018,Comedy,Australia,R
Movie_154,2007,Comedy,UK,PG-13
Movie_155,2017,Action,Australia,TV-MA
Movie_156,2009,Romance,USA,PG-13
Movie_157,2017,Drama,Australia,R
Movie_158,2015,Drama,Canada,PG-13
Movie_159,2017,Action,Australia,PG
Movie_160,2016,Drama,Canada,R
Movie_161,2007,Action,UK,PG
Movie_162,2007,Action,Japan,PG-13
Movie_163,2003,Documentary,Japan,PG-13
Movie_164,2007,Documentary,UK,G
Movie_165,2020,Documentary,USA,TV-MA
Movie_166,2019,Comedy,Japan,G
Movie_167,2000,Drama,Canada,PG-13
Movie_168,2019,Action,UK,R
Movie_169,2022,Drama,Australia,G
Movie_170,2014,Thriller,UK,PG-13
Movie_171,2003,Drama,India,G
Movie_172,2000,Thriller,Japan,PG-13
Movie_173,2014,Comedy,UK,PG
Movie_174,2019,Comedy,UK,TV-MA
Movie_175,2011,Comedy,India,PG
Movie_176,2004,Comedy,USA,R
Movie_177,2016,Thriller,Australia,PG-13
Movie_178,2012,Action,India,PG-13
Movie_179,2021,Thriller,Australia,PG-13
Movie_180,2007,Action,Australia,R
Movie_181,2003,Drama,Japan,TV-MA
Movie_182,2003,Action,Canada,PG
Movie_183,2003,Action,UK,G
Movie_184,2005,Thriller,India,G
Movie_185,2014,Drama,Australia,PG
Movie_186,2022,Drama,Canada,R
Movie_187,2010,Documentary,India,G
Movie_188,2016,Thriller,Australia,PG-13
Movie_189,2018,Comedy,India,TV-MA
Movie_190,2008,Drama,Japan,G
Movie_191,2010,Drama,Australia,R
Movie_192,2004,Comedy,India,R
Movie_193,2013,Drama,India,PG-13
Movie_194,2011,Thriller,USA,PG-13
Movie_195,2019,Drama,Japan,PG
Movie_196,2017,Comedy,Australia,PG-13
Movie_197,2006,Action,UK,PG
Movie_198,2011,Documentary,Canada,PG
Movie_199,2022,Documentary,Australia,R
Movie_200,2011,Documentary,USA,TV-MA
Movie_201,2011,Action,Australia,PG
Movie_202,2005,Thriller,UK,PG
Movie_203,2005,Comedy,Australia,TV-MA
Movie_204,2017,Action,Canada,R
Movie_205,2007,Thriller,USA,PG
Movie_206,2017,Drama,Australia,PG
Movie_207,2018,Romance,UK,G
Movie_208,2012,Romance,USA,PG
